address,balance
bc1q5kjrl579k5lr0addl03w6zyw6jp0emqt8gda4j,0.00115496
3FhfRToRL5hahsGwXJHJohQ2PwqUZBcGbv,0.0005644
33fcCipZcxZj1pmk4T5UUREMNQFaGjSXPE,0.103379
33vMVZjSnSt2XtZbDL9Q1jZEv6TEqV2d4p,0.00276591
1G795dRq33c1qbaWpSuvQzmfED4p4jTCA8,0.451265
bc1qdggyxywaycc5lfldc2psqeyf8rtl02zztg75sf,2.04366
13qnzmqc8ePugqrPpHxjw8xregfHPCeVg7,0.0516543
bc1qjr0k83nsfg3jhps05ezjhtj3mg5az3c7sjgph6,0.0008383
bc1q6x4dns7fyjfwm8nruqy5c7cazszsrw4rlcvjrt,0.00103221
1PRqpUMEt6VRKxDUnT6gS8sbVzLmhdeNd7,0.422417
3MsTK4bKZdrXjYSwiUpVSvF7ByoXcfdM9f,0.00018367
bc1qyuz4dg2f8d795ayexjcjfy7a4r6v2tscwj7yqf,0.00195136
16DMvGNudvHxdJkiLJTbW2q2bf1Aot7UQV,0.47
bc1qcshf73lmt88nhgqn6fjs76ukqpsk8jdg5twdym,0.0212793
3NyZkmJAZirZT8QXyFknz6b7D5c4pPNKpA,0.0206145
bc1qs9hxq0g4s6hhlcwmza433mc2axv2tu86etylkx54ht8gyut9ka2qfvsnl3,84.6482
bc1qu7mdt50yjnu3pgqja5332e05r6lnuuu0ygvfph,2.5411
bc1qtahfag8hqe8sw03ph9ydntts4mz84acjhh0zzv,0.0001079
bc1qxces4jngspr2ds20t66s5w5vur56wtne6m44l5,0.0145868
39KZb8BiEciH52jmAPEAuadSgnsw6qssNi,0.183238
bc1qqfpqqy6h4xgmy4ucrugpah4q2x6qpwu9yrn5qu,18.1723
bc1pk2h26ax0vmku8nd08y4qfkewlvyjvqassuztx0agmvm5s8zmm58qkvmk2m,0.00543868
bc1qazvx5zygz4e0plmlyhldz4rjg5c8ncsv57zy9e,0.00020478
1PZoyhDyNBdUDiH2Z7BWSiGAS4csLNUAJ,0.00067911
bc1qxqaxk584jl6xrdthr4qf2jpfftgsuf4kmnw3rf,1.86543
bc1q4nc06cle9fhw5xa0yf6n2t3qls8j05vvv5sfny,0.00230983
3PHaVXZzkwZwfREX7dCwm6cpwmQqAvRQqD,0.0014604
1Pk2FxYNbiiFruXNuNmfEMVTQHgbX3PUQp,0.0203215
bc1qd4nsweqrxvvlvwt7gqyx90hazxaau032h5qeat,0.0011871
bc1qqgyh779cf7qv7ypyyj6pxxcl5pada8s5uvxcg6,0.00036541
bc1qrd3djxdzstq0cz8xestsmyea35wsnena9939ur,0.00044351
bc1q96kxdyd3wkygyn7ugws8wem2sjrzdvtp6yj4l6,0.00856631
16tS4GhR7gbGGdZuXAp9fXw7mNrPGFgTLY,0.00083127
bc1qca439pmfafc9xtw5k63n9937akqju3wzw0pj7j,0.00087403
3MUiMSvAg9sP5zvEZJBXtXriMorAW5pDhp,0.437297
bc1qevyt0dv4f359pyk20ks5943240p3dw4aa8g2ss,0.248846
bc1qtt7e9sqlryj58vxsv8tj5f94d9uhdatct86wh2,0.00325786
bc1pe8zruz8ra4ac3l95ucw5dc3fd7mat5un30ychucnxfjkaenc2gysnvsjck,0.00243944
bc1p0e7j0an74sqgg4vua0uy4hlsu9vxgd4clw5jmvddkmp73gxpgjzq9curlu,0.00093679
bc1qrg3ufkjhl0vg24yehzfc4u5n7aazmxsrnkzzjr,0.0149413
1ExB7SKVeaJkehTCm1vUBKew5ujuGLAEAe,0.0613171
bc1qnltcysm7573q9uerygc9udrtg252f8xnv605g7,0.00100907
112tVQStLs2o24AqRYDBdkfRGH5E5tuR2i,0.0208582
bc1qe7urnv4yf0nwdtdg9vrr8793rmfsdjp50azkvj,0.0247301
bc1qy368vdzpfkdhh9allvnex874rve8l02e6v8f9h,0.0046872
bc1qx329w3padvfxqny2c4gtc0edtql6yddlg090zw,0.003108
bc1qq6rj7224xmqjvzuvudkwfw7jlawguycxlfzt00,0.00013715
bc1qlr3v8h0ca3ywla6ndllkklxgnjtcwvdmjkmk34,0.00391041
bc1qpmg8ephvl5d5xsz587nxqfrw9nlhqkh55u3lvn,0.010932
32vTCMY6XwqUfdNBGBt6P1C2LQaA7ZqxTd,0.00417215
bc1quxjgwsqkhg8wszgl72666z08d9zvr4djeaaqcz,0.00079784
bc1pw8r9excrkp0ea9ut3jx76cgljue93t06k09z48q67rav0h7xe3lsnqf22w,0.0005736
32VuDEV1pJQvnf9kqEZesfsXyibgGBRqSC,0.00051408
bc1qv5jnkqd3xs8snk62e7ehgdvfm6lxgwznr33lky,0.00534987
1CvfbjgRJVCLDNb6QbmMy9YN3uGpD4hVbV,0.2
bc1qku6eerffjqhk26cxqmfyh7mw0ldtk55p895raw,0.0047
bc1q59e5ymry37kanvzd8g9r9a6maylyxh9sklzkxz,0.0016436
1BrfzAH9W9A2Fo83mdkCrpE1D6CAzZXwj6,1.28224
bc1qrrs3gfa92539gr95su6qmj5ahfrwnx9n5yjfcm,0.00416
bc1qyqkl95u7hrmy7tl656m4w6aqqw46ej4r539ysh,0.00046118
bc1qwzxlycc0ggzp4k95xul7zd898zcpwl6n4wc0k6,0.999938
bc1q2dqwtvu8hhmqvuek8tqn2k349pfyl2uxunt2qt,0.0159218
bc1qtp6wj3p9qmxncp8cseqd06c5mk6qhm4kcle6u0,0.0460535
bc1q0qn2vqr5dtf6yk8223xg3guymxfwuslqf07wza,0.0137874
bc1qr6hk255ztpy9tuc7hmm4rgemksa34ld3gzrxk5,1.93414
17i4hLrxrAarnXjWtpktkvHSeYmPnmC9rg,0.0154906
bc1q7kzqa49ryudee3epw4ymhu4pza5erlu9rdp6r5,0.250878
3CAbB2EbPH16sJoaBMBtaroNvC7H7i7m2q,0.103662
33wN7mwhdud8qvUJG41AZH46QqoXdQe1Gh,0.00666649
bc1q3y5756y4kgmudzvn50ys5f6ccdty8ax40qpa55,0.101742
bc1q6rhwdu7rvkjlru9q5u78xk5fr6hxaavsta7eth,0.0129289
1Pdo18RSB2uJezFSbvuuTdC142VmikqqxP,0.0224148
1PJzW3hatDVKfppfstGSXcCw1GK4zQf3TT,0.0200475
bc1q590lntzdv6wqdl8tlchz6hrvq0k2aejyyfw08e,0.0201927
1JGZ5B7HwCMjmM8nbBwMfoyu9oonCTXG8Y,0.0213721
bc1q8mt3z03q8sggutwvefjjwjgdzqhryvumc3tes0,0.0176681
bc1qvhhzrs8a0xjn0aukhjs46gfmmg9lk83vpu46jn,0.00033982
1PqgiGKodNhZwNvk6DNS8yo7EdTe2hSoiz,0.00235514
bc1p23mqwms7w6kuqa5c6645rd04xdpr5vwqt58g3ey84hxv4hx2hj2qr44hnv,0.000556
3MdhQmc7h6P5Rq3PSTS4QuAdAxngJTdn9j,0.00386876
1N1iMcpteRmzyC6vu3BEm5Bg9be2L3hsMZ,2.06327
1DyTuURAQ2uaPLzCxyKhCYLgqwPNV9bfTs,0.0111599
3JfZxrfpik4rjGWTL8SxB9uhP2dVUgqURa,0.0043843
1JPJTNqAej6kCKA3voCtecbUnbBX5eDVEj,0.076218
bc1q8x62tvuqg9sdxf7n98r9259x743anct9qeyjj6,0.792247
bc1q6v4g98g9fyqrc4sh5yvkezuukvv9vtfvwwzuu7,0.00102975
bc1qnkfyxg2rl7tsrktqlkny6x5kr538ypzhhug4h2,0.00173348
19jUg2U2pFAkbgXSKQdKxiJMVLi7mG7v3z,0.0169414
1sqGy92ygxuWjtukrkV6DHXhKUmXvoSeB,0.0358026
17Y5z7yTe4AfroZeTt8X4YuUUuCfnvJ67h,0.114516
bc1qmf7n8s2fsyn4um7rp0xdzl3kknfd6ncuye7jnq,0.0123125
bc1qvsgn0g9dhh9h50fh9j2c7ezhlnfkkrm765agps,0.0004387
bc1q5xppjdzegc8nma354swr8u578fqszchnrl7fk2,0.0212477
bc1qekx4a9rt5eh609q7krp08dg7p5lqjqs3m26tl4,0.00307959
bc1qcr85wvjxzmpg7zj9pfvtj6yywpevs0hgwxxdvp,0.00169
1GC7RwCGufwK5qUDeYx5dPJnLkGqL9Y53v,0.059965
3HEmBFFFU1d9rBxbGWybDvsjvKBnx7fBtD,0.0295885
bc1qcalsmzuj45kdlczr7w76lf7fwkxr97tv99ak0n,0.00403573
bc1pw7wje4jszp5g8p2dk6874qu3ysnsawnrl9dcvtvjfj48f0ad69mse3f736,0.00221925
1AkyDNcWwagzvpoyU2zpTcHBqFofoaaAhF,0.00099304
33oWVK15aydApUuCxKBBeEPXAWKcicjSvR,0.0006425
bc1qlvpgxsmxz6cd9nv0k3hlf7e3z4w5yrzett5mhr,0.0069747
bc1qex0l3jh5jml4708efsxfqeku5d9k0wnnte2xw3,0.175942
1Dhwr6XMvwi54TcL36TqMdBSSTz8Bc9ZGy,0.00640388
bc1q2ku5d9kknhufz3k6gc97mvd00h27vtkh5yrlaw,0.00426614
bc1pmfz7ry0y4dkuscxazwv60djtmckhl5lptv6nhcdyjmczcs67wwxq3dfud5,0.00087104
bc1qhuv3dhpnm0wktasd3v0kt6e4aqfqsd0uhfdu7d,0.0345093
